predicate,acc,bal_acc,acc_auc,full_acc,f1,f2,f05,pauc,mR@10,mNgR@10,mR@20,mNgR@20,mR@50,mNgR@50,mR@-1,mNgR@-1,R@10,NgR@10,R@20,NgR@20,R@50,NgR@50,R@-1,NgR@-1
looking at,0.7115566037735848,0.7099616800358526,0.6912541620421753,0.9415789473684211,0.1838235294117647,0.29002320185614844,0.1345532831001076,0.9051096222890262,0.014204545454545454,0.0703125,0.036931818181818184,0.1924715909090909,0.0819128787878788,0.4029356060606061,0.002840909090909091,0.01278409090909091,,,,,,,,
guiding,0.7425,0.7439457752040011,0.7485294117647059,0.9877631578947368,0.02105263157894737,0.049504950495049514,0.013368983957219253,0.9638062648065282,0.0,0.07692307692307693,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.38461538461538464,0.0,0.07692307692307693,,,,,,,,
kissing,0.9875,0.9882205843643064,0.9825,0.9764473684210526,0.02185792349726776,0.052910052910052914,0.013774104683195593,0.9924980257962622,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
eating,0.9329347826086958,0.9344660473575761,0.9149744245524297,0.9771052631578947,0.3203125,0.5203045685279187,0.2313769751693002,0.9787011776081778,0.3362573099415205,0.4795321637426901,0.3362573099415205,0.5935672514619882,0.3362573099415205,0.6549707602339181,0.260233918128655,0.30994152046783624,,,,,,,,
drinking,1.0,0.9970379146919431,0.9840441176470588,0.9940789473684211,0.15094339622641506,0.30769230769230765,0.09999999999999999,0.9979923644023171,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,,,,,,,,
feeding,0.9816666666666667,0.9854547847834672,0.977156862745098,0.9709210526315789,0.026431718061674006,0.0635593220338983,0.01668520578420467,0.9971041200473871,0.5555555555555556,0.4444444444444444,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,,,,,,,,
biting,0.988125,0.9874209694415174,0.9563235294117647,0.9748684210526316,0.07729468599033817,0.17316017316017315,0.04975124378109453,0.9934635142255006,0.5,0.5,0.5833333333333334,0.75,0.5833333333333334,0.75,0.4583333333333333,0.375,,,,,,,,
catching,0.865625,0.866240779768177,0.8566176470588235,0.9822368421052632,0.0816326530612245,0.1754385964912281,0.05319148936170213,0.9716313224446786,0.13333333333333333,0.5333333333333333,0.13333333333333333,0.6,0.13333333333333333,0.6666666666666666,0.13333333333333333,0.26666666666666666,,,,,,,,
picking,0.5,0.49993420186866694,0.5,0.9997368421052631,0.0,0.0,0.0,0.9790761942360836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
playing with,0.8440909090909088,0.8418284838102996,0.7854278074866309,0.9560526315789474,0.045714285714285714,0.10443864229765014,0.02926115581565472,0.9454114208363781,0.046875,0.203125,0.046875,0.28125,0.046875,0.578125,0.046875,0.03125,,,,,,,,
